"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"brać";1;0;0;2;3;0;4;1;2
"cały";7;2;3;1;1;3;10;8;7
"chcieć";9;0;2;1;3;1;10;1;7
"chwila";4;1;1;0;0;0;3;2;3
"czas";10;5;8;12;3;3;3;9;1
"część";4;0;1;0;2;0;1;3;2
"czym";1;2;0;0;3;2;1;1;0
"dać";3;0;1;1;0;0;2;1;1
"długi";4;2;1;2;0;0;4;5;3
"dojść";1;3;0;1;0;1;1;2;1
"domu";1;4;1;2;2;0;5;4;0
"dopiero";1;1;0;1;3;0;2;0;1
"dotrzeć";2;5;0;3;2;2;1;0;2
"droga";3;5;0;0;2;0;10;2;4
"drugi";1;1;3;0;1;16;2;2;3
"duży";0;1;2;3;1;0;6;0;1
"dwa";2;3;0;1;4;5;1;1;0
"dwóch";0;0;2;1;0;1;2;1;2
"dzień";8;2;6;2;1;1;2;3;5
"głos";3;4;1;0;0;1;3;0;9
"główny";2;0;3;4;3;1;0;1;1
"historia";1;1;6;1;0;20;1;7;0
"imię";3;2;6;1;2;0;1;3;0
"inny";7;1;3;6;4;2;7;2;2
"jeden";4;2;3;0;4;4;5;2;6
"kilka";1;0;1;1;4;0;2;1;2
"kolejny";1;5;1;1;1;2;0;0;0
"koniec";2;1;3;1;8;2;3;5;1
"kraj";1;1;5;4;2;1;6;5;1
"krótki";0;3;1;3;1;1;0;0;1
"który";1;2;0;1;2;2;1;0;0
"lata";2;0;3;0;3;2;0;1;1
"miejsce";2;4;1;2;0;8;2;0;5
"mielić";1;1;1;0;0;0;2;1;1
"między";3;1;2;1;1;0;0;2;4
"móc";7;4;0;0;2;1;6;1;3
"musieć";4;3;1;0;2;0;7;2;4
"następny";0;5;2;4;3;4;1;0;0
"nazywać";1;1;4;2;4;0;2;6;0
"niego";2;5;2;4;3;3;6;3;1
"nigdy";2;2;0;0;1;0;1;5;2
"nimi";4;3;0;1;0;0;3;2;4
"nowego";0;1;1;1;3;1;1;0;1
"nowy";0;0;1;3;2;3;4;1;3
"ojciec";2;0;4;2;1;3;3;0;0
"oni";2;0;1;1;1;0;2;1;2
"ostatni";2;3;1;1;2;5;1;4;5
"otrzymać";2;2;3;1;1;1;0;1;0
"pełny";0;1;0;1;1;2;1;1;0
"pierwsze";0;0;1;1;2;1;1;1;0
"pierwszy";1;1;9;2;4;11;2;2;2
"początek";0;0;2;5;1;2;3;1;0
"podczas";0;3;7;4;1;7;0;5;1
"podróż";0;4;5;1;1;0;2;1;0
"pomóc";1;1;1;1;0;0;2;0;4
"ponowny";1;2;1;2;1;1;0;0;0
"potem";4;1;2;1;3;0;5;1;2
"powrócić";0;1;1;2;4;2;0;1;0
"później";0;1;7;3;2;1;0;3;0
"praca";1;0;9;5;2;2;0;2;0
"prawie";0;1;1;0;1;1;1;1;0
"prowadzić";0;2;6;3;3;1;0;1;0
"rada";1;0;3;1;0;0;2;1;1
"raz";0;0;1;1;2;1;2;4;0
"razem";3;1;0;2;0;0;1;1;2
"ręka";2;0;0;1;1;0;3;4;5
"rodzina";1;0;2;4;6;2;1;4;0
"rozpocząć";0;0;5;4;3;2;0;1;1
"sam";2;4;2;1;3;5;24;5;1
"siebie";4;3;0;1;1;2;2;1;3
"siła";2;0;0;2;0;1;1;1;4
"spotkać";1;0;1;2;1;0;3;1;0
"sprawa";1;1;2;3;2;1;0;4;0
"stać";4;3;4;1;0;2;4;2;4
"strona";4;3;1;2;1;0;2;0;4
"swoim";1;2;1;0;1;1;1;2;1
"swoją";2;1;3;1;1;2;2;4;1
"swojej";2;0;1;0;1;3;0;4;1
"swój";0;1;1;0;1;0;1;3;1
"szeroki";2;0;1;1;1;0;0;1;1
"świecie";1;0;1;0;1;3;2;1;0
"towarzyszyć";0;1;1;2;1;0;0;2;1
"udział";1;0;1;7;2;1;0;0;1
"uważać";0;1;2;1;0;1;2;1;0
"uzyskać";1;0;2;1;6;2;0;1;0
"wieko";1;0;3;1;4;1;0;3;1
"wiele";3;1;3;1;2;0;0;6;2
"wielki";4;8;2;3;1;2;2;8;6
"wielu";3;1;4;0;0;0;2;2;4
"więcej";3;1;1;1;1;0;13;4;1
"większość";1;1;4;1;2;0;1;0;0
"wkrótce";3;2;1;1;3;0;3;0;1
"własny";1;0;0;1;0;1;1;6;3
"wówczas";3;2;3;5;5;3;0;1;0
"wraz";2;1;4;6;6;1;3;1;2
"wszystkich";1;2;1;1;1;2;3;0;1
"wszystkie";3;0;1;0;0;2;1;3;3
"wybrać";0;1;5;3;4;3;3;2;0
"wydać";1;0;5;1;1;0;2;2;0
"wziąć";2;0;1;1;0;1;3;0;2
"zacząć";3;14;2;4;3;0;9;1;1
"ziemia";1;2;4;2;1;0;1;0;5
"znać";3;3;0;1;1;0;1;2;1
"znaleźć";2;6;0;1;1;2;1;7;3
"zostać";6;4;22;12;21;26;2;5;5
"życie";0;0;3;1;6;2;1;0;1
