"";"Hobbit";"Hobbit.txt.bak";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"aborcja";0;0;1;0;0;0;0;0;0
"abp";0;0;1;0;0;0;0;0;0
"achacy";0;0;0;0;2;0;0;0;0
"achillini";0;0;0;0;1;0;0;0;0
"adam";0;0;3;1;0;0;0;0;0
"adama";0;0;1;0;0;0;0;0;0
"adamem";0;0;1;0;0;0;0;0;0
"adamowo";0;0;0;1;0;0;0;0;0
"administracyjny";0;0;1;0;3;0;0;0;0
"administrator";0;0;0;0;7;0;0;0;0
"adnotacja";0;0;0;0;0;0;0;2;0
"adolfa";0;0;0;0;1;0;0;0;0
"adres";0;0;0;1;0;0;0;0;0
"aequo";0;0;0;0;0;1;0;0;0
"afryka";0;0;1;0;0;0;0;0;0
"aimenu";0;0;0;0;0;0;0;0;2
"aips";0;0;0;0;0;1;0;0;0
"akademia";0;0;0;0;2;0;0;0;0
"akademicki";0;0;2;0;0;0;0;0;0
"akcja";0;0;0;8;1;0;0;0;0
"aktor";0;0;1;0;0;0;0;0;0
"aktywny";0;0;1;0;0;0;0;0;0
"akwinu";0;0;3;0;0;0;0;0;0
"alarm";0;0;0;0;0;0;2;0;0
"albert";0;0;1;0;0;0;0;0;0
"albertum";0;0;0;0;1;0;0;0;0
"albertyn";0;0;1;0;0;0;0;0;0
"albin";0;0;0;1;0;0;0;0;0
"albrecht";0;0;0;0;1;0;0;0;0
"albrechta";0;0;0;0;2;0;0;0;0
"albrechtem";0;0;0;0;1;0;0;0;0
"album";0;0;0;0;1;0;0;0;0
"aleksander";0;0;0;2;1;0;0;0;0
"aleksandra";0;0;0;3;1;0;0;0;0
"aleksandrą";0;0;0;1;0;0;0;0;0
"aleksandrę";0;0;0;1;0;0;0;0;0
"alessandro";0;0;0;0;1;1;0;0;0
"allodium";0;0;0;0;1;0;0;0;0
"almanach";0;0;0;0;1;0;0;0;0
"alpaga";0;0;0;0;1;0;0;0;0
"alternatywa";0;0;0;0;0;0;0;1;0
"alumn";0;0;1;0;0;0;0;0;0
"ameryce";0;0;1;0;0;0;0;0;0
"ameryk";0;0;2;0;0;0;0;0;0
"analiza";0;0;0;0;0;1;0;0;0
"analizować";0;0;0;1;0;1;0;0;0
"andersa";0;0;0;0;0;1;0;0;0
"andré";0;0;1;0;0;0;0;0;0
"andrea";0;0;0;0;1;0;0;0;0
"andrzej";0;0;1;0;3;1;0;0;0
"andrzeja";0;0;0;0;2;0;0;0;0
"andrzejem";0;0;0;0;3;0;0;0;0
"anduiny";0;0;0;0;0;0;0;1;0
"anduril";0;0;0;0;0;0;0;0;2
"angażować";0;0;0;0;1;0;0;0;0
"angelicum";0;0;2;0;0;0;0;0;0
"angielski";0;0;0;0;0;1;0;0;0
"anglikański";0;0;1;0;0;0;0;0;0
"ankieta";0;0;0;0;0;1;0;0;0
"anna";0;0;0;0;1;0;0;0;0
"anną";0;0;0;0;1;0;0;0;0
"anny";0;0;0;0;2;0;0;0;0
"antagonista";0;0;0;0;1;0;0;0;0
"antonio";0;0;0;0;2;0;0;0;0
"antropocentryzm";0;0;0;0;1;0;0;0;0
"antropologia";0;0;1;0;0;0;0;0;0
"antykoncepcja";0;0;1;0;0;0;0;0;0
"antyrosyjski";0;0;0;2;0;0;0;0;0
"apostolski";0;0;1;0;0;0;0;0;0
"aprowizacyjny";0;0;0;0;1;0;0;0;0
"aquila";0;0;0;0;1;0;0;0;0
"aragorn";0;0;0;0;0;0;0;0;31
"aragornem";0;0;0;0;0;0;0;0;2
"aragornie";0;0;0;0;0;0;0;1;3
"aragornowi";0;0;0;0;0;0;0;0;1
"arathorna";0;0;0;0;0;0;0;0;1
"archidiecezja";0;0;1;0;0;0;0;0;0
"archiwum";0;0;0;0;1;0;0;0;0
"arcybiskup";0;0;6;0;0;0;0;0;0
"arcyklejnocie";1;0;0;0;0;0;0;0;0
"arcyklejnot";1;0;0;0;0;0;0;0;0
"arcyklejnotu";1;0;0;0;0;0;0;0;0
"arena";0;0;0;1;0;1;0;0;0
"aresztować";0;0;0;5;0;0;0;0;0
"aresztowany";0;0;0;2;0;0;0;0;0
"argument";1;0;0;0;0;0;0;0;0
"arjena";0;0;0;0;0;1;0;0;0
"arjenem";0;0;0;0;0;1;0;0;0
"armada";0;0;1;0;0;0;0;0;0
"armia";1;0;0;5;0;0;1;1;0
"arnolda";0;0;0;0;1;0;0;0;0
"arsenalowi";0;0;0;0;0;1;0;0;0
"artykuł";0;0;0;5;0;0;0;0;0
"artystyczny";0;0;1;0;0;0;0;0;0
"arwenie";0;0;0;0;0;0;0;1;0
"arystarcha";0;0;0;0;1;0;0;0;0
"arystotelesa";0;0;0;0;1;0;0;0;0
"ascetyczny";0;0;1;0;0;0;0;0;0
"astrologia";0;0;0;0;2;0;0;0;0
"astronom";0;0;0;0;24;0;0;0;0
"astronomia";0;0;0;0;4;0;0;0;0
"astronomicznomatematycznej";0;0;0;0;1;0;0;0;0
"astronomiczny";0;0;0;0;3;0;0;0;0
"asysta";0;0;0;0;0;5;0;0;0
"asystent";0;0;1;0;0;0;0;0;0
"atak";0;2;0;1;0;0;0;0;1
"atakować";0;1;0;0;0;0;0;0;1
"athenaeum";0;0;1;0;0;0;0;0;0
"atlético";0;0;0;0;0;1;0;0;0
"atsushi";0;0;0;1;0;0;0;0;0
"audiencja";0;0;1;0;0;0;0;0;0
"augsburg";0;0;0;0;0;1;0;0;0
"augsburgowi";0;0;0;0;0;1;0;0;0
"austriacki";0;0;0;3;0;0;0;0;0
"austrii";0;0;0;1;0;0;0;0;0
"austrowęgier";0;0;0;1;0;0;0;0;0
"autor";0;0;1;1;3;0;0;1;0
"autorstwo";0;0;0;1;0;0;0;0;0
"autorytet";0;0;2;0;0;0;0;0;0
"awans";0;0;0;0;0;1;0;0;0
"awansować";0;0;0;0;0;1;0;0;0
"awanturniczy";0;0;0;0;0;0;0;1;0
"azji";0;0;1;0;0;0;0;0;0
"azs";0;0;0;0;0;1;0;0;0
"bacząc";0;1;0;0;0;0;0;0;0
"baczny";0;0;0;0;0;0;1;0;0
"baczyńskiego";0;0;0;0;0;1;0;0;0
"bać";1;1;0;0;0;0;1;0;0
"badacz";0;0;0;0;1;0;0;0;0
"badanie";0;0;0;1;1;1;0;0;0
"badawczy";0;0;1;0;2;0;0;0;0
"bag";0;1;0;0;0;0;7;2;0
"baggins";1;7;0;0;0;0;2;2;0
"bagginsa";0;5;0;0;0;0;0;0;0
"bagginsowi";0;1;0;0;0;0;0;0;0
"bagginsowie";0;0;0;0;0;0;0;1;0
"baggio";0;0;0;0;0;1;0;0;0
"bagshot";0;0;0;0;0;0;1;0;0
"bajka";0;0;0;0;0;0;0;1;0
"balicki";0;0;0;1;0;0;0;0;0
"balin";5;0;0;0;0;0;0;0;0
