"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"George R.R. Martin 01 - Gra o tron";"George R.R. Martin 03 - Nawalnica mieczy 01 - Stal i snieg";"George R.R. Martin 04 - Nawalnica mieczy 02 - Krew i zloto";"George R.R. Martin 05 - Uczta dla wron 01 - Cienie smierci";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"andrzej";0;0;0;0;0;0;0;0;0;1;0;3;1;1;1;4;4;0;0;0
"ano";5;1;2;6;0;0;0;0;0;0;0;0;0;3;1;1;0;0;0;0
"armia";0;0;0;0;0;2;0;0;1;0;5;0;0;0;0;1;0;1;1;0
"bać";0;0;0;0;3;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0
"bardziej";0;0;0;0;2;2;2;0;1;0;1;0;0;0;1;0;1;2;1;0
"będę";0;1;0;0;1;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0
"bezpieczny";0;0;0;0;1;1;2;1;1;0;0;0;0;0;0;1;1;2;2;3
"biały";1;2;0;0;1;0;1;6;0;1;0;0;0;0;1;2;0;0;1;3
"blady";0;1;2;1;1;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0
"blask";1;0;0;0;7;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1
"bliski";0;0;0;1;0;0;1;0;0;2;0;1;0;0;0;4;2;1;0;1
"bóg";2;3;8;3;2;0;0;0;0;3;0;0;0;0;0;1;1;0;0;0
"bok";0;0;1;1;4;2;2;0;0;0;0;0;0;1;0;0;1;1;0;0
"brać";0;1;1;3;0;2;2;3;1;0;2;3;0;0;1;0;0;4;1;2
"brama";0;0;0;0;0;1;0;0;11;1;0;0;0;1;0;0;0;0;2;14
"brata";0;0;0;0;0;2;1;3;0;2;0;1;0;0;0;1;0;0;0;0
"broń";0;0;0;0;5;0;2;1;1;0;0;0;0;0;1;1;0;4;0;0
"bronić";0;0;0;1;0;0;1;2;0;0;4;1;1;0;3;1;0;1;0;2
"brzeg";0;1;0;0;0;3;0;0;1;0;1;0;0;1;0;0;3;1;0;2
"brzmieć";0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;1
"bujny";1;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1
"być";0;0;0;1;1;2;0;1;1;0;0;0;0;0;0;0;0;0;1;1
"cel";0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;1;1;1;0;1
"chłopak";0;4;5;2;1;1;5;5;0;0;0;0;0;0;0;0;0;1;0;0
"chłopiec";0;0;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;3;0;0
"chmura";0;6;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1
"chociaż";3;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;0
"chodzić";3;0;7;0;4;6;3;0;0;0;0;0;0;2;2;3;0;3;1;6
"chwila";1;0;1;2;4;0;2;1;4;1;0;0;0;2;3;2;0;3;2;3
"chwilę";2;0;2;1;4;2;0;3;0;0;0;0;0;0;0;0;0;0;0;3
"chyba";0;1;0;0;0;1;3;4;2;1;0;0;0;1;1;0;2;4;0;0
"ciąg";1;1;0;0;1;0;0;0;1;0;0;0;3;0;0;0;0;1;3;0
"ciągnąć";0;0;4;4;0;1;0;1;2;0;0;0;0;0;0;0;0;0;1;0
"ciało";0;0;0;0;5;0;0;0;0;1;0;1;2;0;1;0;0;0;0;1
"cichy";4;6;2;0;2;2;1;1;0;0;0;0;0;2;1;1;2;0;0;0
"cię";1;0;1;0;4;8;1;4;3;0;0;0;0;0;4;2;0;4;0;2
"ciebie";0;0;0;0;2;0;2;2;1;0;0;0;0;0;1;1;0;3;0;0
"ciemność";0;1;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;1;4;1
"ciemny";0;0;0;0;3;0;0;1;2;0;0;0;0;1;0;1;1;0;0;4
"cień";0;1;1;0;4;0;0;1;2;0;0;0;0;0;0;0;0;0;0;3
"ciepło";1;1;1;0;1;0;2;0;1;0;0;0;0;0;1;0;0;0;0;0
"cieszyć";0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1;0;2;1;1
"ciężki";5;2;5;9;3;0;0;0;0;0;1;0;0;0;1;0;0;3;0;0
"cisza";0;1;2;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
"cóż";0;1;1;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;2
"czarne";0;2;1;4;3;1;1;1;0;0;0;0;0;0;2;0;1;0;0;0
