"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"abo";0;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0
"aborcja";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"abp";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"absolutny";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"achacy";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"achillini";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"adam";0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0
"adama";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"adamem";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"adamowo";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"adda";0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
"addy";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"addzie";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"administracyjny";0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0
"administrator";0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
"admirał";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"adnotacja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"adolfa";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"adres";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"aedirn";0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0
"aequo";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"afryka";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"agat";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"agata";0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
"agato";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"aglais";0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0
"agresywny";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"aimenu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"aips";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"akademia";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"akademicki";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"akcent";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"akcja";0;0;0;0;0;0;8;1;0;0;0;0;1;0;0;0
"aksamitny";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"aktor";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"aktywny";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"akurat";0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
"akuratny";0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"akwinu";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
"alarm";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
"albert";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"albertum";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"albertyn";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"albin";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"albowiem";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
"albrecht";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"albrechta";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"albrechtem";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"album";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"aldersbergu";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"aleksander";0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0
"aleksandra";0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0
"aleksandrą";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"aleksandrę";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"alessandro";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"alkierz";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"allodium";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"almanach";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"alpaga";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"alternatywa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"alumn";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"ameryce";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"ameryk";0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
"analiza";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"analizować";0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0
"andersa";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"andré";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"andrea";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
"andrzej";0;0;0;0;0;1;0;3;1;1;1;4;4;0;0;0
"andrzeja";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"andrzejem";0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"anduiny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"anduril";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"angażować";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
