"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"George R.R. Martin 01 - Gra o tron";"George R.R. Martin 03 - Nawalnica mieczy 01 - Stal i snieg";"George R.R. Martin 04 - Nawalnica mieczy 02 - Krew i zloto";"George R.R. Martin 05 - Uczta dla wron 01 - Cienie smierci";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"abo";0;0,00220901177898806;0,0122004409843962;0,00193973465213764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"adam";0;0;0;0;0;0;0;0;0;0,00799822173728899;0,00291909322925076;0;0;0;0;0;0;0;0;0
"administracyjny";0;0;0;0;0;0;0;0;0;0,00266607391242966;0;0,00885060771284377;0;0;0;0;0;0;0;0
"aedirn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00978957198886256;0,00920201688334449;0;0;0
"aegon";0;0;0;0;0;0,00216694591969169;0;0,00203799269624992;0;0;0;0;0;0;0;0;0;0;0;0
"aemon";0;0;0;0;0,00398312721209516;0,00216694591969169;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agata";0;0;0,00246800007049581;0,00470861530104516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akcja";0;0;0;0;0;0;0;0;0;0;0,0192405314176886;0,0024306976857604;0;0;0;0;0,00379081107225236;0;0;0
"akuratny";0;0,00268113647690667;0;0,00235430765052258;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"albowiem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00326319066295419;0,00460100844167225;0;0;0
"aleksander";0;0;0;0;0;0;0;0;0;0;0,00583818645850151;0,00295020257094792;0;0;0;0;0;0;0;0
"aleksandra";0;0;0;0;0;0;0;0;0;0;0,00875727968775227;0,00295020257094792;0;0;0;0;0;0;0;0
"alessandro";0;0;0;0;0;0;0;0;0;0;0;0,00295020257094792;0,00329229741812424;0;0;0;0;0;0;0
"analizować";0;0;0;0;0;0;0;0;0;0;0,00291909322925076;0;0,00329229741812424;0;0;0;0;0;0;0
"andrzej";0;0;0;0;0;0;0;0;0;0,00121554829280077;0;0,0040352748832054;0,00150106360042592;0,00200871773584849;0,00148196983642833;0,00595117160247449;0,00839098710709007;0;0;0
"angra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00326319066295419;0,0138030253250167;0;0;0
"anna";0;0;0,0123400003524791;0;0;0;0;0;0;0;0;0,00295020257094792;0;0;0;0;0;0;0;0
"ano";0,00605829269131903;0,00122241579727987;0,00225048019736963;0,00644042454782321;0;0;0;0;0;0;0;0;0;0,00602615320754546;0,00148196983642833;0,00148779290061862;0;0;0;0
"antek";0,00437914495066593;0,00662703533696418;0,00203340683073269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aragornie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00220579554773397;0,00603255707304
"arbor";0;0;0;0;0;0;0,00183127237865896;0,00203799269624992;0;0;0;0;0;0;0;0;0;0;0;0
"arena";0;0;0;0;0;0;0;0;0;0;0,00291909322925076;0;0,00329229741812424;0;0;0;0;0;0;0
"armia";0;0;0;0;0;0,00226609992715748;0;0;0,00110213552929328;0;0,00763165902533483;0;0;0;0;0,001706253039456;0;0,00127250226678843;0,00115336360834409;0
"arya";0;0;0;0;0;0,0216694591969169;0,00366254475731793;0;0;0;0;0;0;0;0;0;0;0;0;0
"atak";0;0;0;0;0;0;0;0,00167911999642099;0;0;0,00240506642721108;0;0;0;0;0;0;0;0;0,00165675883424104
"autor";0;0;0;0;0;0;0;0;0;0,00186350569413111;0,00204035860710664;0,00618630931142281;0;0;0;0;0;0;0,00154178492356399;0
"aże";0;0;0,00246800007049581;0,00941723060209033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bać";0;0;0;0;0,00312403883842843;0,00113304996357874;0,00191506680723948;0,00106562306390565;0,00110213552929328;0;0;0;0;0;0;0;0;0,00127250226678843;0;0
"baczyć";0;0,00220901177898806;0,00203340683073269;0,00581920395641291;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"badanie";0;0;0;0;0;0;0;0;0;0;0,00240506642721108;0,0024306976857604;0,00271255262058098;0;0;0;0;0;0;0
"badawczy";0;0;0;0;0;0;0;0;0;0,00266607391242966;0;0,00590040514189585;0;0;0;0;0;0;0;0
"bądź";0;0;0;0;0;0;0,00256000892490338;0;0,00147330462873564;0;0;0;0;0;0;0,00228087239183434;0;0,00510313867008211;0;0
"baelora";0;0;0;0;0;0,00178536568438761;0,00603520527930806;0,00167911999642099;0;0;0;0;0;0;0;0;0;0;0;0
"bag";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0170355286917301;0,00441159109546794;0
"baggins";0;0;0;0;0;0;0;0;0,00173665329579074;0;0;0;0;0;0;0;0;0,00401020599877832;0,00363474846502816;0
"bagno";0;0,00268113647690667;0;0;0;0,00216694591969169;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bajka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00652638132590837;0;0;0,00220579554773397;0
"balia";0,00265754247590989;0;0;0;0;0;0,00183127237865896;0;0;0;0;0;0;0;0;0;0;0;0;0
"banda";0;0;0;0;0,00199156360604758;0;0;0;0;0;0;0;0;0;0;0;0;0,00486729391192287;0;0
"bandy";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00243364695596144;0;0,00201085235768
"baratheon";0;0;0;0;0;0;0,00183127237865896;0,00407598539249983;0;0;0;0;0;0;0;0;0;0;0;0
