"";"chlopi-czesc-czwarta-lato";"chlopi-czesc-czwarta-zima";"chlopi-czesc-pierwsza-jesien";"chlopi-czesc-trzecia-wiosna";"George R.R. Martin 01 - Gra o tron";"George R.R. Martin 03 - Nawalnica mieczy 01 - Stal i snieg";"George R.R. Martin 04 - Nawalnica mieczy 02 - Krew i zloto";"George R.R. Martin 05 - Uczta dla wron 01 - Cienie smierci";"Hobbit";"Jan_Pawel_II";"Jozef_Pilsudski";"Mikolaj_Kopernik";"Robert_Lewandowski";"Wiedzmin-01";"Wiedzmin-02";"Wiedzmin-03";"Wiedzmin-04";"Wladca_pierscien_Powrot_Krola";"Wladca_pierscieni_Druzyna_Pierscienia";"Wladca_pierscieni_Dwie_Wieze"
"abo";0;0,00157387325713985;0,00892974092713281;0,00142401955991998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aborcja";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"abp";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"absolutny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0028471199571063;0;0;0;0
"achacy";0;0;0;0;0;0;0;0;0;0;0;0,00443729783869339;0;0;0;0;0;0;0;0
"achillini";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"aczkolwiek";0;0;0;0;0;0;0,00187665136556116;0;0;0;0;0;0;0;0;0;0;0;0;0
"adam";0;0;0;0;0;0;0;0;0;0,00473658948890784;0,00165847633294426;0;0;0;0;0;0;0;0;0
"adama";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"adamem";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"adamowo";0;0;0;0;0;0;0;0;0;0;0,00215772745625929;0;0;0;0;0;0;0;0;0
"adda";0;0;0;0;0;0;0;0;0;0;0;0;0;0,0111032192546882;0;0;0;0;0;0
"addam";0;0;0;0;0;0;0,00187665136556116;0;0;0;0;0;0;0;0;0;0;0;0;0
"addama";0;0;0;0;0;0;0,00187665136556116;0;0;0;0;0;0;0;0;0;0;0;0;0
"addy";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00277580481367204;0;0;0;0;0;0
"addzie";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00277580481367204;0;0;0;0;0;0
"administracyjny";0;0;0;0;0;0;0;0;0;0,00157886316296928;0;0,00511590569027828;0;0;0;0;0;0;0;0
"administrator";0;0;0;0;0;0;0;0;0;0;0;0,0155305424354269;0;0;0;0;0;0;0;0
"admirał";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0028471199571063;0;0;0;0
"adnotacja";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00445559597411068;0
"adolfa";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"adres";0;0;0;0;0;0;0;0;0;0;0,00215772745625929;0;0;0;0;0;0;0;0;0
"aedirn";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00656507528633866;0,00429744902314018;0;0;0
"aegon";0;0;0;0;0;0,00171942447975536;0;0,0015886791462876;0;0;0;0;0;0;0;0;0;0;0;0
"aegona";0;0;0;0;0;0;0,00562995409668349;0;0;0;0;0;0;0;0;0;0;0;0;0
"aegonem";0;0;0;0;0;0;0;0,00206691922280601;0;0;0;0;0;0;0;0;0;0;0;0
"aemon";0;0;0;0;0,00323774668117677;0,00171942447975536;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aequo";0;0;0;0;0;0;0;0;0;0;0;0;0,00221523736283309;0;0;0;0;0;0;0
"afryka";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"agat";0;0;0;0,00224866185998302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agata";0;0;0,00180637743060759;0,00345674099363929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"agato";0;0;0,00235015122071091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aglais";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0199298396997441;0;0;0;0
"agresywny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00294810920524377;0;0;0;0;0
"aimenu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00394876938774542
"aips";0;0;0;0;0;0;0;0;0;0;0;0;0,00221523736283309;0;0;0;0;0;0;0
"akademia";0;0;0;0;0;0;0;0;0;0;0;0,00443729783869339;0;0;0;0;0;0;0;0
"akademicki";0;0;0;0;0;0;0;0;0;0,00410829666814388;0;0;0;0;0;0;0;0;0;0
"akcent";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00277580481367204;0;0;0;0;0;0
"akcja";0;0;0;0;0;0;0;0;0;0;0,0109314651788965;0,00140501313868902;0;0;0;0;0,00177035290696391;0;0;0
"aksamit";0;0;0;0;0;0;0,00375330273112233;0;0;0;0;0;0;0;0;0;0;0;0;0
"aksamitny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00279555504197113;0;0;0
"aktor";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"aktywny";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"akurat";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00555160962734408;0;0;0;0;0;0
"akuratny";0;0,00191025192345449;0;0,00172837049681965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akwinu";0;0;0;0;0;0;0;0;0;0,00616244500221582;0;0;0;0;0;0;0;0;0;0
"alarm";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00482089023411864;0;0
"albert";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"albertum";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"albertyn";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"albin";0;0;0;0;0;0;0;0;0;0;0,00215772745625929;0;0;0;0;0;0;0;0;0
"albowiem";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00218835842877955;0,00214872451157009;0;0;0
"albrecht";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"albrechta";0;0;0;0;0;0;0;0;0;0;0;0,00443729783869339;0;0;0;0;0;0;0;0
"albrechtem";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"album";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"aldersbergu";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00279555504197113;0;0;0
"aleja";0;0;0;0;0;0;0,00187665136556116;0;0;0;0;0;0;0;0;0;0;0;0;0
"aleksander";0;0;0;0;0;0;0;0;0;0;0,00331695266588853;0,00170530189675943;0;0;0;0;0;0;0;0
"aleksandra";0;0;0;0;0;0;0;0;0;0;0,00497542899883279;0,00170530189675943;0;0;0;0;0;0;0;0
"aleksandrą";0;0;0;0;0;0;0;0;0;0;0,00215772745625929;0;0;0;0;0;0;0;0;0
"aleksandrę";0;0;0;0;0;0;0;0;0;0;0,00215772745625929;0;0;0;0;0;0;0;0;0
"alessandro";0;0;0;0;0;0;0;0;0;0;0;0,00170530189675943;0,00170267970009603;0;0;0;0;0;0;0
"alkierz";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00294810920524377;0;0;0;0;0
"alla";0;0;0;0;0;0,00894809129376266;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"allą";0;0;0;0;0;0,00223702282344066;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"allodium";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"almanach";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"alpaga";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"alternatywa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00222779798705534;0
"alumn";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"alyn";0;0;0;0;0;0,00447404564688133;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ambrose";0;0;0;0;0;0,00223702282344066;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ameryce";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"ameryk";0;0;0;0;0;0;0;0;0;0,00410829666814388;0;0;0;0;0;0;0;0;0;0
"analiza";0;0;0;0;0;0;0;0;0;0;0;0;0,00221523736283309;0;0;0;0;0;0;0
"analizować";0;0;0;0;0;0;0;0;0;0;0,00165847633294426;0;0,00170267970009603;0;0;0;0;0;0;0
"andersa";0;0;0;0;0;0;0;0;0;0;0;0;0,00221523736283309;0;0;0;0;0;0;0
"andré";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"andrea";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"andrzej";0;0;0;0;0;0;0;0;0;0,000719854169595893;0;0,00233250488628813;0,000776306085509871;0,000972750913827719;0,00103313313289888;0,00399097015238408;0,0039186886748506;0;0;0
"andrzeja";0;0;0;0;0;0;0;0;0;0;0;0,00443729783869339;0;0;0;0;0;0;0;0
"andrzejem";0;0;0;0;0;0;0;0;0;0;0;0,00665594675804009;0;0;0;0;0;0;0;0
"anduiny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00222779798705534;0
"anduril";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00394876938774542
"angażować";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"angelicum";0;0;0;0;0;0;0;0;0;0,00410829666814388;0;0;0;0;0;0;0;0;0;0
"angielski";0;0;0;0;0;0;0;0;0;0;0;0;0,00221523736283309;0;0;0;0;0;0;0
"angivare";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0028471199571063;0;0;0;0
"angiyare";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0028471199571063;0;0;0;0
"anglikański";0;0;0;0;0;0;0;0;0;0,00205414833407194;0;0;0;0;0;0;0;0;0;0
"angra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00218835842877955;0,00644617353471028;0;0;0
"anioł";0;0;0,00235015122071091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ankieta";0;0;0;0;0;0;0;0;0;0;0;0;0,00221523736283309;0;0;0;0;0;0;0
"anna";0;0;0,00903188715303796;0;0;0;0;0;0;0;0;0,00170530189675943;0;0;0;0;0;0;0;0
"anną";0;0;0;0;0;0;0;0;0;0;0;0,0022186489193467;0;0;0;0;0;0;0;0
"annę";0;0;0,00235015122071091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
